XFinished random in: 1.908167839050293 sec, 8 turns.
XFinished random in: 2.269568681716919 sec, 9 turns.
XFinished random in: 2.0688939094543457 sec, 9 turns.
XFinished random in: 3.797830581665039 sec, 10 turns.
XFinished random in: 1.8247077465057373 sec, 8 turns.
XFinished random in: 2.2461934089660645 sec, 9 turns.
XFinished random in: 2.185316324234009 sec, 9 turns.
XFinished random in: 2.404552936553955 sec, 9 turns.
XFinished random in: 1.6658234596252441 sec, 7 turns.
XFinished random in: 1.8097705841064453 sec, 8 turns.
XFinished random in: 2.1083552837371826 sec, 9 turns.
XFinished random in: 2.0920166969299316 sec, 9 turns.
XFinished random in: 2.15348219871521 sec, 9 turns.
XFinished random in: 1.663421630859375 sec, 7 turns.
XFinished random in: 2.227794885635376 sec, 9 turns.
XFinished random in: 1.6842880249023438 sec, 6 turns.
XFinished random in: 2.41460919380188 sec, 9 turns.
XFinished random in: 1.775637149810791 sec, 7 turns.
XFinished random in: 1.9402306079864502 sec, 8 turns.
XFinished random in: 2.1689393520355225 sec, 9 turns.
XFinished random in: 5.21228814125061 sec, 10 turns.
XFinished random in: 2.166627883911133 sec, 9 turns.
XFinished random in: 2.0717484951019287 sec, 9 turns.
xFinished random in: 2.1163971424102783 sec, 9 turns.
XFinished random in: 2.078840732574463 sec, 9 turns.
XFinished random in: 1.7283284664154053 sec, 6 turns.
XFinished random in: 1.8342392444610596 sec, 8 turns.
XFinished random in: 4.1818459033966064 sec, 10 turns.
XFinished random in: 2.20302414894104 sec, 9 turns.
XFinished random in: 2.1965975761413574 sec, 9 turns.
XFinished random in: 2.247871160507202 sec, 9 turns.
XFinished random in: 2.0354197025299072 sec, 9 turns.
XFinished random in: 1.762181043624878 sec, 7 turns.
XFinished random in: 1.7708466053009033 sec, 8 turns.
XFinished random in: 1.7357852458953857 sec, 7 turns.
XFinished random in: 2.2162652015686035 sec, 9 turns.
XFinished random in: 2.0060839653015137 sec, 9 turns.
XFinished random in: 2.129406213760376 sec, 9 turns.
XFinished random in: 2.1763455867767334 sec, 9 turns.
XFinished random in: 1.7930490970611572 sec, 7 turns.
XFinished random in: 2.144493579864502 sec, 9 turns.
XFinished random in: 2.4408280849456787 sec, 9 turns.
XFinished random in: 1.7052476406097412 sec, 5 turns.
XFinished random in: 1.6531884670257568 sec, 5 turns.
XFinished random in: 3.8580305576324463 sec, 10 turns.
XFinished random in: 2.0821003913879395 sec, 7 turns.
XFinished random in: 1.7406251430511475 sec, 8 turns.
XFinished random in: 2.1988823413848877 sec, 9 turns.
XFinished random in: 2.4469335079193115 sec, 9 turns.
XFinished random in: 1.8013238906860352 sec, 8 turns.
Finished random in: 2.0601463317871094 sec, 9 turns.
Finished random in: 1.6410996913909912 sec, 0 turns.
Finished random in: 0.0 sec, 0 turns.
Finished random in: 0.0 sec, 0 turns.
Finished random in: 3.9432363510131836 sec, 10 turns.
Finished random in: 2.192417621612549 sec, 9 turns.
Finished random in: 0.47960972785949707 sec, 9 turns.
Finished random in: 0.0561678409576416 sec, 9 turns.
Finished random in: 2.8171162605285645 sec, 9 turns.
